name,date
USA/NY-NYCPHL-000889/2020,2020-03-27
tiger/USA/NY-P4/2020,2020-04-02
USA/NY-NYCPHL-000597/2020,2020-03-10
USA/IL-IDPH-KAK-S-000620/2020,2020-05-11
USA/OR-OHSU-0267/2020,2020-04-11
France/IDF-HB_112101106590/2021,2021-01-26
Norway/2331/2020,2020-03-22
USA/NJ-NYGC-NJ-BioR-592-Ampliseq/2020,2020-09-23
tiger/USA/NY-4-040420/2020,2020-04-04
USA/MI-MDHHS-SC26240/2020,2020-03-31
USA/TX-HMH-MCoV-40744/2020,2020-07-22
tiger/USA/NY-2-040420/2020,2020-04-04
USA/MD-HP07023-PIDZELXVEF/2020,2020-05-04
USA/MI-MDHHS-SC20481/2020,2020-03-31
Wales/PHWC-163EC4/2020,2020-04-24
USA/CA-CZB-27451/2021,2021-01-16
USA/NM-UNM-TC219953/2020,2020-07-27
Qatar/QA-WCMQ_FD15542781/2020,2020-08-24
Belgium/rega-3909/2021,2021-02-22
France/OCC-CHU-TLS-210281595401/2021,2021-01-28
France/IDF-IPP3399/2020,2020-03-23
USA/CO-CDPHE-2008090127/2020,2020-08-07
USA/CO-CDC-FG-022627/2021,2021-04-03
USA/WA-UW-68517/2021,2021-03-23
USA/CO-CDC-FG-019927/2021,2021-04-02
USA/FL-BPHL-0642/2021,2021-02-03
USA/FL-CDC-FG-013045/2021,2021-03-15
USA/AZ-TG795433/2021,2021-03-14
USA/TX-HMH-MCoV-23783/2021,2021-01-15
USA/NY-PRL-2021_03_29_01K09/2021,2021-03-24
Qatar/QA-QU_09-1-E8/2020,2020-04-14
mink/USA/UT-20-023894-003/2020,2020-08-21
mink/USA/UT-20-023279-003/2020,2020-08-14
mink/USA/UT-20-023279-004/2020,2020-08-14
mink/USA/UT-20-023894-006/2020,2020-08-21
mink/USA/UT-20-022930-002/2020,2020-08-10
mink/USA/UT-20-022930-006/2020,2020-08-10
mink/USA/UT-20-023279-002/2020,2020-08-14
