task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
144	0e/c69900	1226301	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (3182)	COMPLETED	0	2022-02-14 11:43:19.009	897ms	0ms	226.1%	3.2 MB	5.4 MB	93 KB	3.8 KB
145	42/884a7e	1226571	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPSIFT_EXTRACTFIELDS (3182)	COMPLETED	0	2022-02-14 11:43:19.907	1.3s	0ms	176.6%	11.1 MB	15.9 MB	16 MB	24.1 KB
146	69/c4c446	1226855	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:TABIX_TABIX (4542)	COMPLETED	0	2022-02-14 11:43:21.234	830ms	0ms	82.1%	3.1 MB	5.4 MB	76.8 KB	3.1 KB
148	b3/249f63	1227093	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_LONG_TABLE:BCFTOOLS_QUERY (4542)	COMPLETED	0	2022-02-14 11:43:22.067	837ms	0ms	232.7%	3.2 MB	5.4 MB	89 KB	1.6 KB
149	ac/3731e5	1227366	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MERGE (4542)	COMPLETED	0	2022-02-14 11:43:22.906	1.8s	0ms	94.1%	2.8 MB	11 MB	564 KB	1.4 KB
151	ed/891c43	1227605	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (4542)	COMPLETED	0	2022-02-14 11:43:24.747	819ms	0ms	100.0%	3.1 MB	5.4 MB	78.7 KB	3.2 KB
153	7a/dda72a	1227845	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (4542)	COMPLETED	0	2022-02-14 11:43:25.568	817ms	1s	242.4%	3.1 MB	5.4 MB	92.6 KB	4 KB
152	7f/cc58bc	1228112	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPSIFT_EXTRACTFIELDS (4542)	COMPLETED	0	2022-02-14 11:43:26.387	1.1s	1s	179.6%	11.4 MB	16.3 MB	16 MB	18.7 KB
154	4b/17b1c9	1228392	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:TABIX_TABIX (4535)	COMPLETED	0	2022-02-14 11:43:27.515	717ms	0ms	66.7%	3.1 MB	5.4 MB	77.1 KB	3.1 KB
156	96/051c57	1228631	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_LONG_TABLE:BCFTOOLS_QUERY (4535)	COMPLETED	0	2022-02-14 11:43:28.234	794ms	0ms	214.4%	3.1 MB	5.4 MB	89.8 KB	2.3 KB
157	8f/a9a907	1228898	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MERGE (4535)	COMPLETED	0	2022-02-14 11:43:29.034	1.9s	0ms	88.9%	2.9 MB	11 MB	526.6 KB	907 B
161	fc/0f11b5	1229138	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPSIFT_EXTRACTFIELDS (4535)	COMPLETED	0	2022-02-14 11:43:30.894	1.1s	0ms	188.2%	11.2 MB	16.3 MB	16 MB	30.4 KB
160	1a/e74336	1229425	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (4535)	COMPLETED	0	2022-02-14 11:43:31.958	756ms	0ms	240.0%	3.1 MB	5.4 MB	95.3 KB	4.2 KB
159	70/2295e6	1229693	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (4535)	COMPLETED	0	2022-02-14 11:43:32.717	904ms	0ms	114.3%	3 MB	5.4 MB	80.1 KB	3.2 KB
162	30/7d007b	1229931	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:TABIX_TABIX (4534)	COMPLETED	0	2022-02-14 11:43:33.624	776ms	0ms	61.5%	3.1 MB	5.4 MB	78 KB	3.1 KB
164	de/d24583	1230169	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_LONG_TABLE:BCFTOOLS_QUERY (4534)	COMPLETED	0	2022-02-14 11:43:34.402	858ms	0ms	200.0%	3.1 MB	5.4 MB	92.6 KB	5.2 KB
167	83/b13a57	1230438	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (4534)	COMPLETED	0	2022-02-14 11:43:35.262	734ms	0ms	200.0%	3.1 MB	5.4 MB	100.9 KB	5.3 KB
166	12/32a2f0	1230706	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (4534)	COMPLETED	0	2022-02-14 11:43:35.998	948ms	0ms	97.0%	3 MB	5.4 MB	85.6 KB	3.2 KB
168	a1/35236c	1230944	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPSIFT_EXTRACTFIELDS (4534)	COMPLETED	0	2022-02-14 11:43:36.949	1.4s	0ms	198.3%	10.8 MB	15.9 MB	16 MB	83.7 KB
169	67/4d3c4d	1231235	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MASKFASTA (4538)	COMPLETED	0	2022-02-14 11:43:38.314	1.8s	0ms	123.1%	2.9 MB	11 MB	81.9 KB	30.1 KB
170	4c/5b4ea2	1231479	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MERGE (4534)	COMPLETED	0	2022-02-14 11:43:40.142	1.9s	0ms	125.5%	2.8 MB	11 MB	94.4 KB	566 B
171	5b/ebd361	1231719	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MASKFASTA (3165)	COMPLETED	0	2022-02-14 11:43:42.014	1.8s	0ms	117.1%	2.7 MB	11 MB	82.3 KB	30.1 KB
172	e3/b5163a	1231965	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MASKFASTA (3182)	COMPLETED	0	2022-02-14 11:43:43.838	1.7s	0ms	80.0%	2.9 MB	11 MB	81.9 KB	30.1 KB
173	c2/33f492	1232209	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MASKFASTA (4542)	COMPLETED	0	2022-02-14 11:43:45.565	1.8s	1s	106.7%	2.8 MB	11 MB	82.4 KB	30.1 KB
174	b9/1e1ad2	1232453	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MASKFASTA (4535)	COMPLETED	0	2022-02-14 11:43:47.372	1.8s	0ms	80.0%	2.9 MB	11 MB	81.9 KB	30.1 KB
