task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
39	33/f95e4b	1624599	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (4581_P0)	COMPLETED	0	2022-03-02 23:09:04.570	2s	1s	125.2%	7.3 MB	222.2 MB	15.5 MB	87.3 KB
42	10/a6f57d	1624881	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (4649_P0)	COMPLETED	0	2022-03-02 23:09:06.722	2.5s	1s	124.8%	7.2 MB	221.9 MB	21.4 MB	84.8 KB
34	8e/bf5ce2	1625156	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (4658_P0)	COMPLETED	0	2022-03-02 23:09:09.272	907ms	0ms	138.2%	6.5 MB	220.8 MB	17 MB	5.3 KB
40	ba/983791	1625375	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (4645_P0)	COMPLETED	0	2022-03-02 23:09:10.184	1.2s	1s	135.1%	6.4 MB	220.8 MB	23.7 MB	5.3 KB
41	ca/3abc2b	1625602	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (4645_P0)	COMPLETED	0	2022-03-02 23:09:11.413	2.6s	2s	118.1%	7.2 MB	222.2 MB	23.7 MB	82.9 KB
45	5d/bc3f7d	1625885	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_GENOME (4581_P0)	COMPLETED	0	2022-03-02 23:09:14.004	1.1s	0ms	85.1%	6.2 MB	12.2 MB	15.5 MB	372.2 KB
44	93/cdf9ae	1626100	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_AMPLICON (4581_P0)	COMPLETED	0	2022-03-02 23:09:15.148	1.2s	1s	89.9%	6.6 MB	12.8 MB	15.5 MB	541.5 KB
43	cc/c4451b	1626317	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (4581_P0)	COMPLETED	0	2022-03-02 23:09:16.366	22.3s	21s	151.6%	143.6 MB	240.3 MB	136.6 MB	121 MB
47	42/2e8c31	1627460	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_GENOME (4649_P0)	COMPLETED	0	2022-03-02 23:09:38.691	1.2s	0ms	93.7%	6.3 MB	12.2 MB	21.4 MB	428.2 KB
48	41/5459d1	1627687	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_AMPLICON (4649_P0)	COMPLETED	0	2022-03-02 23:09:39.907	1.1s	0ms	90.1%	6.7 MB	12.8 MB	21.4 MB	645.7 KB
46	76/52cf85	1627905	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (4649_P0)	COMPLETED	0	2022-03-02 23:09:41.017	32.7s	31s	156.8%	273.5 MB	434.9 MB	194.4 MB	172.9 MB
49	6b/d8c508	1629252	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_GENOME (4658_P0)	COMPLETED	0	2022-03-02 23:10:13.763	1.1s	0ms	90.8%	6.4 MB	12.2 MB	17 MB	402.7 KB
50	68/7a38b9	1629474	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_AMPLICON (4658_P0)	COMPLETED	0	2022-03-02 23:10:14.891	1.3s	0ms	89.1%	6.8 MB	12.8 MB	17 MB	601.9 KB
